'2022/8/10/9:40:38',1.390,0.141,0.196,4.2
'2022/8/10/9:40:42',1.387,0.139,0.193,6.2
'2022/8/10/9:40:44',1.387,0.141,0.196,8.3
'2022/8/10/9:40:46',1.389,0.138,0.192,10.4
'2022/8/10/9:40:48',1.390,0.139,0.193,8.3
'2022/8/10/9:40:50',1.389,0.140,0.194,10.4
'2022/8/10/9:40:52',1.389,0.139,0.193,10.4
'2022/8/10/9:40:53',1.389,0.139,0.193,10.4
'2022/8/10/9:40:55',1.387,0.139,0.193,10.4
'2022/8/10/9:40:57',1.390,0.136,0.189,12.5
'2022/8/10/9:40:59',1.389,0.139,0.193,14.6
'2022/8/10/9:41:1',1.389,0.139,0.193,14.6
'2022/8/10/9:41:3',1.387,0.139,0.193,14.6
'2022/8/10/9:41:4',1.389,0.138,0.192,16.7
'2022/8/10/9:41:6',1.389,0.139,0.193,16.7
'2022/8/10/9:41:8',1.389,0.138,0.192,16.7
'2022/8/10/9:41:10',1.389,0.139,0.193,16.7
'2022/8/10/9:41:12',1.387,0.139,0.193,16.7
'2022/8/10/9:41:14',1.387,0.139,0.193,16.7
'2022/8/10/9:41:16',1.389,0.139,0.193,16.7
'2022/8/10/9:41:18',1.387,0.139,0.193,16.7
'2022/8/10/9:41:20',1.389,0.139,0.193,16.7
'2022/8/10/9:41:22',1.389,0.139,0.193,16.7
'2022/8/10/9:41:24',1.389,0.139,0.193,16.7
'2022/8/10/9:41:26',1.387,0.140,0.194,18.8
'2022/8/10/9:41:27',1.390,0.139,0.193,20.8
'2022/8/10/9:41:29',1.386,0.140,0.194,22.9
'2022/8/10/9:41:31',1.387,0.139,0.193,25.0
'2022/8/10/9:41:33',1.389,0.139,0.193,25.0
'2022/8/10/9:41:35',1.389,0.139,0.193,25.0
'2022/8/10/9:41:37',1.387,0.139,0.193,25.0
'2022/8/10/9:41:39',1.387,0.139,0.193,25.0
'2022/8/10/9:41:41',1.387,0.139,0.193,25.0
'2022/8/10/9:41:43',1.386,0.140,0.194,27.1
'2022/8/10/9:41:45',1.387,0.139,0.193,29.2
'2022/8/10/9:41:47',1.387,0.139,0.193,29.2
'2022/8/10/9:41:49',1.387,0.138,0.191,29.2
'2022/8/10/9:41:51',1.387,0.138,0.191,29.2
'2022/8/10/9:41:53',1.389,0.139,0.193,27.1
'2022/8/10/9:41:55',1.387,0.139,0.193,27.1
'2022/8/10/9:41:57',1.389,0.139,0.193,27.1
'2022/8/10/9:41:59',1.387,0.139,0.193,27.1
'2022/8/10/9:42:1',1.387,0.140,0.194,27.1
'2022/8/10/9:42:3',1.387,0.139,0.193,27.1
'2022/8/10/9:42:5',1.387,0.139,0.193,27.1
'2022/8/10/9:42:7',1.387,0.139,0.193,27.1
'2022/8/10/9:42:9',1.387,0.139,0.193,27.1
'2022/8/10/9:42:11',1.385,0.140,0.194,29.2
'2022/8/10/9:42:13',1.387,0.139,0.193,31.2
'2022/8/10/9:42:15',1.387,0.138,0.191,31.2
'2022/8/10/9:42:17',1.387,0.140,0.194,31.2
'2022/8/10/9:42:19',1.386,0.139,0.193,29.2
'2022/8/10/9:42:21',1.387,0.139,0.193,29.2
'2022/8/10/9:42:23',1.387,0.139,0.193,29.2
'2022/8/10/9:42:25',1.386,0.138,0.191,27.1
'2022/8/10/9:42:27',1.386,0.138,0.191,27.1
'2022/8/10/9:42:29',1.385,0.139,0.193,29.2
'2022/8/10/9:42:31',1.386,0.139,0.193,29.2
'2022/8/10/9:42:33',1.386,0.139,0.193,29.2
'2022/8/10/9:42:35',1.386,0.139,0.193,29.2
'2022/8/10/9:42:37',1.387,0.136,0.189,31.2
'2022/8/10/9:42:39',1.386,0.139,0.193,33.3
'2022/8/10/9:42:41',1.386,0.139,0.193,33.3
'2022/8/10/9:42:43',1.386,0.139,0.193,33.3
'2022/8/10/9:42:46',1.386,0.138,0.191,33.3
'2022/8/10/9:42:48',1.386,0.139,0.193,33.3
'2022/8/10/9:42:50',1.386,0.140,0.194,33.3
'2022/8/10/9:42:52',1.385,0.139,0.193,31.2
'2022/8/10/9:42:54',1.386,0.140,0.194,29.2
'2022/8/10/9:42:56',1.386,0.139,0.193,29.2
'2022/8/10/9:42:58',1.386,0.138,0.191,29.2
'2022/8/10/9:43:0',1.386,0.139,0.193,29.2
'2022/8/10/9:43:2',1.386,0.139,0.193,29.2
'2022/8/10/9:43:4',1.386,0.138,0.191,29.2
'2022/8/10/9:43:7',1.386,0.139,0.193,29.2
'2022/8/10/9:43:9',1.384,0.138,0.191,27.1
'2022/8/10/9:43:11',1.385,0.139,0.193,25.0
'2022/8/10/9:43:13',1.385,0.139,0.193,25.0
'2022/8/10/9:43:15',1.386,0.138,0.191,27.1
