'2022/8/11/9:16:51',1.250,0.124,0.155,50.0
'2022/8/11/9:16:52',1.252,0.124,0.155,50.0
'2022/8/11/9:16:53',1.250,0.125,0.156,100.0
'2022/8/11/9:16:54',1.250,0.126,0.158,50.0
'2022/8/11/9:16:55',1.251,0.124,0.155,100.0
'2022/8/11/9:16:57',1.252,0.124,0.155,50.0
'2022/8/11/9:16:58',1.251,0.126,0.158,100.0
'2022/8/11/9:16:59',1.252,0.124,0.155,150.0
'2022/8/11/9:17:0',1.252,0.125,0.157,100.0
'2022/8/11/9:17:1',1.251,0.124,0.155,50.0
'2022/8/11/9:17:2',1.251,0.124,0.155,50.0
'2022/8/11/9:17:3',1.251,0.125,0.156,50.0
'2022/8/11/9:17:4',1.250,0.125,0.156,50.0
'2022/8/11/9:17:5',1.251,0.125,0.156,50.0
'2022/8/11/9:17:6',1.251,0.123,0.154,50.0
'2022/8/11/9:17:7',1.251,0.125,0.156,50.0
'2022/8/11/9:17:8',1.251,0.124,0.155,50.0
'2022/8/11/9:17:9',1.250,0.125,0.156,100.0
'2022/8/11/9:17:13',1.252,0.123,0.154,150.0
'2022/8/11/9:17:14',1.251,0.124,0.155,200.0
'2022/8/11/9:17:15',1.251,0.125,0.156,150.0
'2022/8/11/9:17:16',1.250,0.124,0.155,100.0
'2022/8/11/9:17:17',1.250,0.125,0.156,50.0
'2022/8/11/9:17:19',1.251,0.125,0.156,50.0
'2022/8/11/9:17:20',1.250,0.125,0.156,50.0
'2022/8/11/9:17:21',1.251,0.125,0.156,50.0
'2022/8/11/9:17:22',1.250,0.124,0.155,0.0
'2022/8/11/9:17:23',1.251,0.125,0.156,50.0
'2022/8/11/9:17:24',1.250,0.125,0.156,50.0
'2022/8/11/9:17:25',1.249,0.126,0.157,100.0
'2022/8/11/9:17:26',1.251,0.124,0.155,150.0
'2022/8/11/9:17:27',1.250,0.123,0.154,100.0
'2022/8/11/9:17:28',1.251,0.125,0.156,50.0
'2022/8/11/9:17:29',1.251,0.125,0.156,50.0
'2022/8/11/9:17:30',1.251,0.125,0.156,50.0
'2022/8/11/9:17:31',1.250,0.124,0.155,0.0
'2022/8/11/9:17:32',1.250,0.124,0.155,50.0
'2022/8/11/9:17:33',1.250,0.125,0.156,50.0
'2022/8/11/9:17:34',1.250,0.125,0.156,50.0
'2022/8/11/9:17:35',1.251,0.125,0.156,50.0
'2022/8/11/9:17:36',1.250,0.125,0.156,50.0
'2022/8/11/9:17:37',1.249,0.125,0.156,50.0
'2022/8/11/9:17:38',1.250,0.125,0.156,50.0
'2022/8/11/9:17:39',1.250,0.125,0.156,50.0
'2022/8/11/9:17:40',1.250,0.125,0.156,50.0
'2022/8/11/9:17:42',1.251,0.124,0.155,100.0
'2022/8/11/9:17:43',1.250,0.124,0.155,50.0
'2022/8/11/9:17:44',1.250,0.125,0.156,50.0
'2022/8/11/9:17:45',1.249,0.125,0.156,50.0
'2022/8/11/9:17:46',1.250,0.125,0.156,50.0
'2022/8/11/9:17:47',1.249,0.125,0.156,50.0
'2022/8/11/9:17:48',1.250,0.124,0.155,100.0
'2022/8/11/9:17:49',1.249,0.124,0.155,50.0
'2022/8/11/9:17:50',1.250,0.125,0.156,0.0
'2022/8/11/9:17:51',1.250,0.125,0.156,50.0
'2022/8/11/9:17:52',1.250,0.125,0.156,50.0
'2022/8/11/9:17:53',1.250,0.124,0.155,50.0
'2022/8/11/9:17:54',1.250,0.126,0.158,50.0
'2022/8/11/9:17:55',1.250,0.125,0.156,50.0
'2022/8/11/9:17:56',1.250,0.125,0.156,50.0
'2022/8/11/9:17:57',1.249,0.125,0.156,50.0
'2022/8/11/9:17:58',1.249,0.124,0.155,50.0
'2022/8/11/9:17:59',1.250,0.125,0.156,0.0
